student_id,assessment_id,assessment_status,completion_reason,num_games_passed,total_games,last_completed_game,item_interactions,weak_skill_count,fuzzy_status,mastery_score,started_at,estimated_finished_at
stu_1780967494964_3113,test_1781051031467_d8q3s6i,completed_original,finished=true,8,8,vertical_operations,27,2,full_assessment,1,2026-06-10T00:23:51.724Z,2026-06-10T10:53:45.352Z
stu_1780967494964_3113,test_1781089532764_fckxbu0,completed_original,finished=true,8,8,vertical_operations,28,2,full_assessment,5.61,2026-06-10T11:05:34.829Z,2026-06-10T11:30:38.521Z
stu_1780967494964_3113,test_1781091763213_4cfhvjq,completed_original,finished=true,9,9,vertical_operations,33,3,full_assessment,5.67,2026-06-10T11:42:44.363Z,2026-06-10T11:57:41.061Z
stu_1780967494964_3113,test_1781093235410_7hlnif4,completed_original,finished=true,1,2,vertical_operations,7,2,full_assessment,1,2026-06-10T12:07:15.942Z,2026-06-10T12:21:13.473Z
stu_1780967494964_3113,test_1781094588909_etc7w2i,completed_original,finished=true,6,6,vertical_operations,26,2,full_assessment,1,2026-06-10T12:29:49.461Z,2026-06-10T12:42:14.296Z
stu_1780967760765_5855,test_1781051031467_d8q3s6i,completed_original,finished=true,6,8,vertical_operations,40,8,full_assessment,5.61,2026-06-10T00:23:51.846Z,2026-06-10T11:37:33.992Z
stu_1780967760954_1871,test_1781051031467_d8q3s6i,completed_original,finished=true,7,8,choose_answer,69,3,full_assessment,5,2026-06-10T00:23:51.906Z,2026-06-10T12:11:04.155Z
stu_1780967760954_1871,test_1781091763213_4cfhvjq,partial,interaction logs exist but completion criteria not met,,9,identify_place_value,34,3,partial_assessment,1,2026-06-10T11:42:44.927Z,2026-06-10T12:28:15.611Z
stu_1780967760954_1871,test_1781093235410_7hlnif4,completed_original,finished=true,1,2,vertical_operations,7,2,full_assessment,1,2026-06-10T12:07:16.168Z,2026-06-10T12:57:22.151Z
stu_1780967760954_1871,test_1781094588909_etc7w2i,completed_original,finished=true,6,6,vertical_operations,28,5,full_assessment,1,2026-06-10T12:29:49.723Z,2026-06-10T12:46:12.839Z
stu_1780967761139_4648,test_1780996897356_kspg977,completed_original,finished=true,9,10,vertical_operations,51,13,full_assessment,5.02,2026-06-09T09:21:37.902Z,2026-06-10T11:25:57.168Z
stu_1780967761139_4648,test_1781051031467_d8q3s6i,completed_original,finished=true,7,8,vertical_operations,39,8,full_assessment,5.6,2026-06-10T00:23:51.967Z,2026-06-10T10:59:15.559Z
stu_1780967761139_4648,test_1781093235410_7hlnif4,completed_original,finished=true,1,2,vertical_operations,12,3,full_assessment,1,2026-06-10T12:07:16.246Z,2026-06-10T12:17:02.165Z
stu_1780967877464_7804,test_1781051031467_d8q3s6i,completed_original,finished=true,8,8,vertical_operations,34,3,full_assessment,1,2026-06-10T00:23:52.027Z,2026-06-10T12:02:36.598Z
stu_1780967877464_7804,test_1781091763213_4cfhvjq,partial,interaction logs exist but completion criteria not met,,9,choose_answer,20,2,partial_assessment,3,2026-06-10T11:42:45.854Z,2026-06-10T13:09:31.559Z
