student_id,assessment_depth,assessment_path,assessment_ids
stu_1777023761689_8905,2,A->B,test_1777023978840_kask7x7|test_1781049725283_3of3fqe
stu_1777023762504_1364,2,A->B,test_1777023978840_kask7x7|test_1781048227348_yh9wms9
stu_1777023762699_4024,2,A->B,test_1777023978840_kask7x7|test_1781049725283_3of3fqe
stu_1780967494580_4312,3,A->B->C,test_1780996897356_kspg977|test_1781051031467_d8q3s6i|test_1781093235410_7hlnif4
stu_1780967494776_5259,5,A->B->C->D->E,test_1780996897356_kspg977|test_1781051031467_d8q3s6i|test_1781089532764_fckxbu0|test_1781091763213_4cfhvjq|test_1781093235410_7hlnif4
stu_1780967494964_3113,6,A->B->C->D->E->F,test_1780996897356_kspg977|test_1781051031467_d8q3s6i|test_1781089532764_fckxbu0|test_1781091763213_4cfhvjq|test_1781093235410_7hlnif4|test_1781094588909_etc7w2i
stu_1780967760954_1871,4,A->B->C->D,test_1781051031467_d8q3s6i|test_1781091763213_4cfhvjq|test_1781093235410_7hlnif4|test_1781094588909_etc7w2i
stu_1780967761139_4648,3,A->B->C,test_1780996897356_kspg977|test_1781051031467_d8q3s6i|test_1781093235410_7hlnif4
stu_1780967877464_7804,2,A->B,test_1781051031467_d8q3s6i|test_1781091763213_4cfhvjq
